Sl. No.,State/UT,2020,2021,2022,2023
1,Andaman and Nicobar Islands,478,507,534,295
2,Andhra Pradesh,64065,86832,92187,37609
3,Arunachal Pradesh,2522,2724,2863,1126
4,Assam,35261,37641,47822,21155
5,Bihar,98994,131703,161165,77278
6,Chandigarh,4294,4720,6066,1693
7,Chhattisgarh,29339,32416,38521,15791
8,Dadra and Nagar Haveli and Daman and Diu,965,1013,1399,368
9,Delhi,86842,103038,106731,37361
10,Goa,1660,2018,2091,871
11,Gujarat,120560,144731,151912,60585
12,Haryana,62697,69083,75838,34531
13,Himachal Pradesh,13424,14492,16089,6924
14,Jammu and Kashmir,8830,10826,11804,5253
15,Jharkhand,45505,52179,57320,23890
16,Karnataka,65785,72435,80416,31794
17,Kerala,20835,21872,23388,9113
18,Ladakh,239,291,320,167
19,Lakshadweep,20,12,11,6
20,Madhya Pradesh,137648,166346,186293,72591
21,Maharashtra,159663,199976,234105,90215
22,Manipur,1563,1793,2554,900
23,Meghalaya,4139,4152,4989,2057
24,Mizoram,2334,1749,2085,981
25,Nagaland,3487,3648,4125,1896
26,Odisha,45628,52381,60372,25939
27,Puducherry,2762,3444,3835,652
28,Punjab,46198,50142,55150,24800
29,Rajasthan,137343,149225,169522,69222
30,Sikkim,1326,1373,1395,615
31,Tamil Nadu,70304,82823,93879,40923
32,Telangana,63209,60714,72941,31094
33,Tripura,2071,2543,3024,1467
34,Uttar Pradesh,366641,453712,522850,253988
35,Uttarakhand,20000,22789,27553,10976
36,West Bengal,79039,90487,100972,44210
