State/Uts,"No of Tobacco-TB patients with known Tobacco usage status, of notified)-Public","% of Tobacco-TB patients with known Tobacco usage status, of notified)-Public","No of Tobacco-TB patients with known Tobacco usage status,of notified)-Private","% of Tobacco-TB patients with known Tobacco usage status,  of notified)-Private","No of Tobacco-TB patients with known Tobacco usage status,  of notified)-Total","% of Tobacco-TB patients with known Tobacco usage status, of notified)-Total","No of Tobacco users identified amongst screened,  of those with known tobacco usage status)-Public","Percentage of Tobacco users identified amongst screened,  of those with known tobacco usage status)-Public","No of Tobacco users identified amongst screened,of those with known tobacco usage status)-Private","Percentage of Tobacco users identified amongst screened,  of those with known tobacco usage status)-Private","No of Tobacco users identified amongst screened,of those with known tobacco usage status)-Total","Percentage  of Tobacco users identified amongst screened, of those with known tobacco usage status)-Total","No of Tobacco users linked with Tobacco cessation centres, of tobacco users)-Public","Percentage  of Tobacco users linked with Tobacco cessation centres, of tobacco users)-Public","No of Tobacco users linked with Tobacco cessation centres,of tobacco users)-Private","Percentage  of Tobacco users linked with Tobacco cessation centres, n (% of tobacco users)-Private","No of Tobacco users linked with Tobacco cessation centres, of tobacco users)-Total","Percentage  of Tobacco users linked with Tobacco cessation centres, of tobacco users)-Total"
Andaman & Nicobar Islands,495 ,91,3 ,75,498 ,90.9,89 ,18,0,0,89 ,17.9,30 ,33.7,NA,NA,30 ,33.7
Andhra Pradesh,63627 ,96.2,26477 ,98.1,90104 ,96.8,9786 ,15.4,1409 ,5.3,11195 ,12.4,2456 ,25.1,326 ,23.1,2782 ,24.9
Arunachal Pradesh,2256 ,75,3 ,50,2259 ,74.9,303 ,13.4,0 ,0,303 ,13.4,171 ,56.4,NA,NA,171 ,56.4
Assam,30134 ,71.7,4074 ,68.8,34208 ,71.4,7929 ,26.3,325 ,8,8254 ,24.1,1497 ,18.9,93 ,28.6,1590 ,19.3
Bihar,44248 ,54.4,36165 ,42.8,80413 ,48.5,4139 ,9.4,1152 ,3.2,5291 ,6.6,917 ,22.2,41 ,3.6,958 ,18.1
Chandigarh,3508 ,94.3,47 ,73.4,3555 ,94,305 ,8.7,2 ,4.3,307 ,8.6,60 ,19.7,0 ,0,60 ,19.5
Chhattisgarh,25332 ,86,5815 ,62.7,31147 ,80.4,7986 ,31.5,336 ,5.8,8322 ,26.7,3595 ,45,140 ,41.7,3735 ,44.9
Dadra and Nagar Haveli and Daman and Diu,548 ,64.9,57 ,75,605 ,65.7,67 ,12.2,2 ,3.5,69 ,11.4,38 ,56.7,2 ,100,40 ,58
Delhi,51623 ,66.2,1686 ,16.5,53309 ,60.4,3440 ,6.7,16 ,0.9,3456 ,6.5,777 ,22.6,5 ,31.3,782 ,22.6
Goa,1553 ,92.6,27 ,6.8,1580 ,76.2,105 ,6.8,1 ,3.7,106 ,6.7,8 ,7.6,1 ,100,9 ,8.5
Gujarat,104192 ,95.9,35780 ,90.6,139972 ,94.5,16920 ,16.2,2365 ,6.6,19285 ,13.8,7145 ,42.2,895 ,37.8,8040 ,41.7
