State/Uts," No of TB - Alcohol-TB patients with known Alcohol usage status, of notified)-Public","% of  TB - Alcohol-TB patients with known Alcohol usage status, of notified)-Public","No of  TB - Alcohol-TB patients with known Alcohol usage status,  of notified)-Private","% of  TB - Alcohol-TB patients with known Alcohol usage status,  of notified)-Private"," No of TB - Alcohol-TB patients with known Alcohol usage status,  of notified)-Total","% of TB - Alcohol-TB patients with known Alcohol usage status, of notified)-Total","No of TB - Alcohol-Alcohol users identified amongst screened, of those with known alcohol usage status)-Public","Percentage  of TB - Alcohol-Alcohol users identified amongst screened,of those with known alcohol usage status)-Public","No of TB - Alcohol-Alcohol users identified amongst screened, of those with known alcohol usage status)-Private","Percentage  of TB - Alcohol-Alcohol users identified amongst screened, of those with known alcohol usage status)-Private","No of TB - Alcohol-Alcohol users identified amongst screened,  of those with known alcohol usage status)-Total","Percentage  of TB - Alcohol-Alcohol users identified amongst screened,  of those with known alcohol usage status)-Total","No of TB - Alcohol-Alcohol users linked with Deaddiction centres, of alcohol users)-Public","Percentage  of TB - Alcohol-Alcohol users linked with Deaddiction centres,  of alcohol users)-Public","No of TB - Alcohol-Alcohol users linked with Deaddiction centres,  of alcohol users)-Private","Percentage  of TB - Alcohol-Alcohol users linked with Deaddiction centres,  of alcohol users)-Private","No of TB - Alcohol-Alcohol users linked with Deaddiction centres, of alcohol users)-Total","Percentage  of No of TB - Alcohol-Alcohol users linked with Deaddiction centres, of alcohol users)-Total"
Andaman & Nicobar Islands,490 ,90.1,3 ,75,493 ,90,90 ,18.4,0 ,0,90 ,18.3,26 ,28.9,NA,NA,26 ,28.9
Andhra Pradesh,63257 ,95.7,26303 ,97.5,89560 ,96.2,8187 ,12.9,1208 ,4.6,9395 ,10.5,1901 ,23.2,265 ,21.9,2166 ,23.1
Arunachal Pradesh,2240 ,74.4,3 ,50,2243 ,74.4,245 ,10.9,0 ,0,245 ,10.9,140 ,57.1,NA,NA,140 ,57.1
Assam,29582 ,70.4,4366 ,73.7,33948 ,70.8,5161 ,17.4,179 ,4.1,5340 ,15.7,1244 ,24.1,71 ,39.7,1315 ,24.6
Bihar,44246 ,54.4,35745 ,42.3,79991 ,48.2,781 ,1.8,254 ,0.7,1035 ,1.3,254 ,32.5,9 ,3.5,263 ,25.4
Chandigarh,3487 ,93.8,47 ,73.4,3534 ,93.4,209 ,6,1 ,2.1,210 ,5.9,39 ,18.7,1 ,100,40 ,19
Chhattisgarh,24653 ,83.7,5734 ,61.8,30387 ,78.5,5395 ,21.9,247 ,4.3,5642 ,18.6,2606 ,48.3,114 ,46.2,2720 ,48.2
Dadra and Nagar Haveli and Daman and Diu,562 ,66.5,58 ,76.3,620 ,67.3,59 ,10.5,3 ,5.2,62 ,10,31 ,52.5,1 ,33.3,32 ,51.6
Delhi,50682 ,65,1660 ,16.2,52342 ,59.3,3074 ,6.1,18 ,1.1,3092 ,5.9,619 ,20.1,4 ,22.2,623 ,20.1
Goa,1563 ,93.2,28 ,7.1,1591 ,76.7,120 ,7.7,2 ,7.1,122 ,7.7,16 ,13.3,0 ,0,16 ,13.1
