sl_no,state,year,tb_cases,outbreak_label,e_inc_100k,e_mort_100k,c_cdr,log_tb_cases,year_trend,state_burden_rank,state_mean,state_std
1,Andaman and Nicobar Islands,2020,478,0,197.0,23.0,59.0,6.171700597410915,0,34.0,453.5,108.11259562758323
2,Andhra Pradesh,2020,64065,0,197.0,23.0,59.0,11.067669080968816,0,11.0,70173.25,24898.863673870743
3,Arunachal Pradesh,2020,2522,0,197.0,23.0,59.0,7.833203948641057,0,27.0,2308.75,800.8326396112153
4,Assam,2020,35261,0,197.0,23.0,59.0,10.470561175840706,0,17.0,35469.75,10988.60092322949
5,Bihar,2020,98994,1,197.0,23.0,59.0,11.502824622790799,0,6.0,117285.0,36825.959385556635
6,Chandigarh,2020,4294,0,197.0,23.0,59.0,8.365206834418355,0,23.0,4193.25,1829.9415974287267
7,Chhattisgarh,2020,29339,0,197.0,23.0,59.0,10.286707051696972,0,18.0,29016.75,9607.461974076885
8,Dadra and Nagar Haveli and Daman and Diu,2020,965,0,197.0,23.0,59.0,6.873163834212518,0,33.0,936.25,425.7396504907665
9,Delhi,2020,86842,1,197.0,23.0,59.0,11.37185716968755,0,7.0,83493.0,31944.68601609142
10,Goa,2020,1660,0,197.0,23.0,59.0,7.415175109613295,0,30.0,1660.0,558.7026639158495
11,Gujarat,2020,120560,1,197.0,23.0,59.0,11.69991112789106,0,5.0,119447.0,41469.79098894359
12,Haryana,2020,62697,0,197.0,23.0,59.0,11.046084828185627,0,13.0,60537.25,18148.75893598972
13,Himachal Pradesh,2020,13424,0,197.0,23.0,59.0,9.504873919377065,0,21.0,12732.25,4024.0434370584685
14,Jammu and Kashmir,2020,8830,0,197.0,23.0,59.0,9.086023537468803,0,22.0,9178.25,2894.73710665868
15,Jharkhand,2020,45505,0,197.0,23.0,59.0,10.725599464377073,0,16.0,44723.5,14707.161033546436
16,Karnataka,2020,65785,0,197.0,23.0,59.0,11.094162328718074,0,10.0,62607.5,21395.410076306864
