state,year,outbreak,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16
Andaman and Nicobar Islands,2020,0,7.7580557,6.943458,10.5156975,0.0,0.0,0.0,9.335038,8.094207,0.0,8.277597,8.812518,8.5228,0.0,0.0,6.19737,7.9336247
Andhra Pradesh,2020,0,2.722188,2.3631003,3.5810447,0.23761967,0.014303064,0.18140304,3.3015568,2.8484545,0.15454008,3.0321138,3.1714752,2.920274,0.17295593,0.0,2.3126369,2.5742288
Arunachal Pradesh,2020,0,5.440399,4.8680615,7.3215256,0.0,0.0,0.0,6.393786,5.58808,0.0,5.7911263,6.0920486,5.8709087,0.0,0.0,4.380494,5.624141
Assam,2020,0,4.5210276,3.8533883,6.14257,0.061674103,0.0,0.0,5.563607,4.836723,0.0,5.0166974,5.392796,5.113855,0.0,0.0,3.7502794,4.464983
Bihar,2020,1,0.0,0.0,0.0,2.5963972,3.5364485,2.6675048,0.0,0.0,4.062424,0.0,0.0,0.0,3.7418394,3.281685,0.0,0.0
Chandigarh,2020,0,5.2501845,4.594293,7.060786,0.0,0.0,0.0,6.2042904,5.420097,0.0,5.621019,5.9272447,5.7015724,0.0,0.0,4.2259927,5.3334517
Chhattisgarh,2020,0,2.5874445,2.2980688,3.5282984,0.14435945,0.0,0.111469574,3.0886018,2.76104,0.031584874,2.8457599,2.9561632,2.792758,0.07369086,0.0,2.1581771,2.6323576
Dadra and Nagar Haveli and Daman and Diu,2020,0,7.509416,6.698807,10.1616955,0.0,0.0,0.0,9.011399,7.8207917,0.0,8.012048,8.525175,8.234973,0.0,0.0,6.003691,7.672776
Delhi,2020,1,0.0,0.0,0.0,2.2866342,3.1490808,2.367384,0.0,0.0,3.6441631,0.0,0.0,0.0,3.3541882,2.9159813,0.0,0.0
Goa,2020,0,5.136575,4.7154484,6.9189754,0.0,0.0,0.0,5.94891,5.2273226,0.0,5.443442,5.678768,5.4645348,0.0,0.0,4.1533093,5.4533668
Gujarat,2020,1,0.0,0.0,0.0,3.5824199,4.85301,3.6677382,0.0,0.0,5.606365,0.0,0.0,0.0,5.0294414,4.599603,0.0,0.0
Haryana,2020,0,1.3824948,1.1585733,1.7859374,1.2522298,1.4751099,1.262784,1.6996629,1.5706264,1.817481,1.5522091,1.681002,1.5497197,1.724386,1.2619661,1.1834782,1.2599046
Himachal Pradesh,2020,0,3.9993653,3.5302942,5.3383436,0.0,0.0,0.0,4.58992,4.0487084,0.0,4.267241,4.4352407,4.2354565,0.0,0.0,3.2513845,4.148511
Jammu and Kashmir,2020,0,4.8290997,4.2027903,6.490662,0.0,0.0,0.0,5.6911154,4.981529,0.0,5.1866164,5.455139,5.2412157,0.0,0.0,3.903481,4.9087133
Jharkhand,2020,0,2.2741685,1.9993972,3.0596242,0.37974578,0.27730957,0.36909533,2.7394845,2.4376678,0.41433346,2.5259118,2.6266704,2.4577882,0.4212911,0.03294254,1.9133364,2.261273
Karnataka,2020,0,2.5006812,2.1426919,3.3299105,0.67237806,0.5088897,0.60656565,3.1469717,2.7438984,0.7564794,2.8489702,3.0162299,2.7754893,0.7744741,0.39706904,2.1471424,2.2901638
Kerala,2020,0,4.2329545,3.7049088,5.5735927,0.0,0.0,0.0,4.846536,4.2366457,0.0,4.458535,4.693287,4.4668336,0.0,0.0,3.4257443,4.304984
Ladakh,2020,0,8.033995,7.208487,10.908551,0.0,0.0,0.0,9.6959,8.399622,0.0,8.574938,9.134978,8.84416,0.0,0.0,6.412585,8.218604
Lakshadweep,2020,0,8.678897,7.824064,11.845341,0.0,0.0,0.0,10.5746975,9.1359415,0.0,9.277149,9.901778,9.619041,0.0,0.0,6.9085965,8.860258
Madhya Pradesh,2020,1,0.0,0.0,0.0,4.1951904,5.672197,4.306053,0.0,0.0,6.549999,0.0,0.0,0.0,5.8633685,5.3651094,0.0,0.0
Maharashtra,2020,1,0.0,0.0,0.0,4.094015,5.6154127,4.284471,0.0,0.0,6.436675,0.0,0.0,0.0,5.8707356,5.2656417,0.0,0.0
Manipur,2020,0,6.1767125,5.543966,8.366296,0.0,0.0,0.0,7.3380413,6.404368,0.0,6.605854,6.9667106,6.7262163,0.0,0.0,4.9673285,6.3971157
Meghalaya,2020,0,4.75861,4.2533503,6.355661,0.0,0.0,0.0,5.514237,4.828991,0.0,5.03611,5.277471,5.0749545,0.0,0.0,3.8388698,4.923249
Mizoram,2020,0,5.8876133,5.2388873,7.9508023,0.0,0.0,0.0,6.9816833,6.0930476,0.0,6.293869,6.6416965,6.403913,0.0,0.0,4.734056,6.0530605
Nagaland,2020,0,5.5046372,4.854757,7.4108505,0.0,0.0,0.0,6.5086136,5.6829305,0.0,5.883974,6.207232,5.976404,0.0,0.0,4.4281178,5.621828
Odisha,2020,0,3.0530164,2.6285303,4.0621505,0.016168512,0.0,0.0,3.605699,3.1501327,0.0,3.3267374,3.5243094,3.3004994,0.0,0.0,2.5428188,3.0323591
Puducherry,2020,0,5.9401646,5.2393594,8.003934,0.0,0.0,0.0,7.057366,6.149362,0.0,6.3470974,6.7166767,6.4711776,0.0,0.0,4.768543,6.048836
Punjab,2020,0,2.343639,2.0722716,3.090019,0.09469642,0.0,0.08025283,2.7340257,2.3964958,0.034148466,2.558686,2.6401155,2.4518049,0.03971599,0.0,1.9736867,2.3392856
Rajasthan,2020,1,0.0,0.0,0.0,3.9434521,5.363305,4.0906343,0.0,0.0,6.1871953,0.0,0.0,0.0,5.581067,5.050514,0.0,0.0
Sikkim,2020,0,5.2380195,4.8278623,7.0644646,0.0,0.0,0.0,6.0840197,5.3348894,0.0,5.552491,5.793948,5.587288,0.0,0.0,4.235508,5.5746846
Tamil Nadu,2020,0,2.4416363,2.092622,3.1796782,0.5305849,0.3873062,0.47135344,2.9985254,2.5879362,0.6021006,2.7356339,2.889159,2.6454968,0.60033303,0.2984233,2.091141,2.22885
