tb_cases,e_inc_100k,e_mort_100k,c_cdr,year_trend,state_burden_rank,outbreak_label
478,197.0,23.0,59.0,0,34.0,0
64065,197.0,23.0,59.0,0,11.0,0
2522,197.0,23.0,59.0,0,27.0,0
35261,197.0,23.0,59.0,0,17.0,0
98994,197.0,23.0,59.0,0,6.0,1
4294,197.0,23.0,59.0,0,23.0,0
29339,197.0,23.0,59.0,0,18.0,0
965,197.0,23.0,59.0,0,33.0,0
86842,197.0,23.0,59.0,0,7.0,1
1660,197.0,23.0,59.0,0,30.0,0
120560,197.0,23.0,59.0,0,5.0,1
62697,197.0,23.0,59.0,0,13.0,0
13424,197.0,23.0,59.0,0,21.0,0
8830,197.0,23.0,59.0,0,22.0,0
45505,197.0,23.0,59.0,0,16.0,0
65785,197.0,23.0,59.0,0,10.0,0
20835,197.0,23.0,59.0,0,19.0,0
239,197.0,23.0,59.0,0,35.0,0
20,197.0,23.0,59.0,0,36.0,0
137648,197.0,23.0,59.0,0,3.0,1
159663,197.0,23.0,59.0,0,2.0,1
1563,197.0,23.0,59.0,0,31.0,0
4139,197.0,23.0,59.0,0,24.0,0
2334,197.0,23.0,59.0,0,28.0,0
3487,197.0,23.0,59.0,0,25.0,0
45628,197.0,23.0,59.0,0,15.0,0
2762,197.0,23.0,59.0,0,26.0,0
46198,197.0,23.0,59.0,0,14.0,0
137343,197.0,23.0,59.0,0,4.0,1
1326,197.0,23.0,59.0,0,32.0,0
70304,197.0,23.0,59.0,0,9.0,0
63209,197.0,23.0,59.0,0,12.0,0
2071,197.0,23.0,59.0,0,29.0,0
366641,197.0,23.0,59.0,0,1.0,1
20000,197.0,23.0,59.0,0,20.0,0
79039,197.0,23.0,59.0,0,8.0,1
507,196.0,23.0,71.0,1,34.0,0
86832,196.0,23.0,71.0,1,9.0,1
2724,196.0,23.0,71.0,1,27.0,0
37641,196.0,23.0,71.0,1,17.0,0
131703,196.0,23.0,71.0,1,6.0,1
4720,196.0,23.0,71.0,1,23.0,0
32416,196.0,23.0,71.0,1,18.0,0
1013,196.0,23.0,71.0,1,33.0,0
103038,196.0,23.0,71.0,1,7.0,1
2018,196.0,23.0,71.0,1,29.0,0
144731,196.0,23.0,71.0,1,5.0,1
69083,196.0,23.0,71.0,1,12.0,0
14492,196.0,23.0,71.0,1,21.0,0
10826,196.0,23.0,71.0,1,22.0,0
52179,196.0,23.0,71.0,1,15.0,0
72435,196.0,23.0,71.0,1,11.0,1
