country,year,e_inc_100k,e_inc_100k_lo,e_inc_100k_hi,e_mort_100k,c_cdr
India,2000,322.0,110.0,644.0,99.0,33.0
India,2001,321.0,110.0,642.0,91.0,31.0
India,2002,320.0,110.0,638.0,83.0,30.0
India,2003,318.0,110.0,632.0,76.0,30.0
India,2004,315.0,111.0,623.0,69.0,32.0
India,2005,311.0,111.0,610.0,65.0,32.0
India,2006,305.0,112.0,593.0,62.0,34.0
India,2007,298.0,112.0,573.0,58.0,36.0
India,2008,291.0,113.0,552.0,56.0,38.0
India,2009,283.0,113.0,530.0,51.0,39.0
India,2010,276.0,114.0,508.0,47.0,39.0
India,2011,268.0,138.0,440.0,44.0,39.0
India,2012,258.0,141.0,410.0,41.0,39.0
India,2013,248.0,141.0,385.0,38.0,39.0
India,2014,243.0,171.0,329.0,34.0,50.0
India,2015,237.0,181.0,300.0,32.0,53.0
India,2016,225.0,191.0,263.0,29.0,58.0
India,2017,217.0,192.0,242.0,28.0,56.0
India,2018,208.0,185.0,233.0,27.0,67.0
India,2019,202.0,179.0,226.0,25.0,77.0
India,2020,197.0,171.0,228.0,23.0,59.0
India,2021,196.0,170.0,227.0,23.0,71.0
India,2022,196.0,170.0,228.0,23.0,81.0
India,2023,192.0,166.0,223.0,22.0,86.0
India,2024,187.0,160.0,218.0,21.0,92.0
